AMF_inoculum,Bacterial_treatment,Replicate,Leaf_number,Height_cm,Shoot_biomass_g,Root_biomass_g,Total_biomass_g,Spore_density_ind_10g_soil,Mycelium_density_m_g_soil,Total_root_length_m,Root_diameter_mm,Frequency_of_mycorrhiza_%,Colonization_intensity_%,Arbuscule_abundance_%,Vesicle_abundance_%
BC1,NW,2,11,99.6,6.536,1.529,8.065,34,0.888,19.871,0.732,93.333,39.8,38.12,18.336
BC1,NW,3,9,74.2,2.754,0.746,3.5,27,0.839,6.374,0.919,73.333,20.533,19.683,2.8
BC1,NW,4,11,87.5,3.229,0.862,4.091,22,1.209,8.554,0.798,83.333,37.167,36.917,2.825
BC1,NW,5,11,98.2,6.018,1.234,7.252,43,1.184,18.82,0.679,93.333,52.9,52.253,12.847
BC1,NW,6,10,83.1,3.175,0.851,4.026,32,1.012,8.348,0.798,83.333,21.1,19.883,3.376
BC1,W,1,12,99.4,3.175,0.554,4.127,52,1.086,5.188,0.848,90,35.9,35.59,5.186
BC1,W,2,11,96.4,4.848,0.984,5.832,36,1.234,9.935,0.848,93.333,48.4,48.017,9.853
BC1,W,3,12,105.7,6.547,1.977,8.524,38,1.11,27.24,0.705,86.667,34.067,33.517,8.386
BC1,W,4,12,110.3,5.404,1.351,6.755,42,1.308,22.229,0.672,80,20.2,19.607,1.768
BC1,W,5,12,102.8,5.435,1.217,6.652,41,1.199,17.384,0.76,88,32.987,32.387,6.347
BC1,W,6,13,102.3,6.637,1.387,8.024,39,1.258,22.327,0.727,90,26.367,25.207,6.543
BC2,NW,1,9,96.2,3.664,0.649,4.313,35,0.666,6.406,0.797,90,44.433,43.667,13.001
BC2,NW,2,11,94.2,4.448,0.783,5.231,30,0.765,9.272,0.76,83.333,42.7,42.503,10.59
BC2,NW,3,10,81.4,2.668,0.405,3.073,33,0.789,6.181,0.749,80,18.467,18.22,2.231
BC2,NW,4,12,93.5,5.346,0.941,6.287,39,0.987,15.299,0.733,90,14.567,11.993,3.938
BC2,NW,5,12,112.5,6.476,1.334,7.81,29,1.012,22.939,0.762,83.333,20.2,19.7,1.697
BC2,NW,6,10,88.2,3.626,0.801,4.427,51,0.74,10.223,0.746,73.333,17.067,16.447,1.008
BC2,W,1,5,70.9,1.179,0.237,1.416,41,0.715,4.627,0.635,76.667,22.867,21.887,1.69
BC2,W,2,9,91.7,2.091,0.353,2.444,27,0.938,4.831,0.684,76.667,8.4,6.873,0.329
BC2,W,3,11,120.1,6.013,1.659,7.672,29,1.012,28.947,0.655,76.667,15.8,12.693,2.13
BC2,W,4,10,113.4,5.453,1.222,6.675,40,1.234,15.44,0.671,73.333,19,18.033,1.9
BC2,W,5,6,87.2,0.92,0.13,1.05,26,0.839,4.405,0.536,80,9.267,8.287,0.116
BC2,W,6,9,84.3,1.834,0.361,2.195,40,0.715,4.566,0.688,80,21.633,21.36,0.361
BC3,NW,1,12,98,5.408,1.266,6.674,42,0.666,19.51,0.624,86.667,52.367,52.25,8.258
BC3,NW,2,11,109.8,7.409,1.704,9.113,96,0.864,15.871,0.766,83.333,30.5,30.01,4.026
BC3,NW,3,12,125.6,8.194,1.762,9.956,45,0.543,25.138,0.671,93.333,27.933,27.52,3.99
BC3,NW,4,11,93,3.381,0.737,4.118,39,1.061,12.395,0.653,73.333,19.4,18.727,0.794
BC3,NW,5,13,111.5,9.058,1.948,11.006,60,0.888,27.054,0.725,83.333,30.267,29.773,8.596
BC3,NW,6,12,107.6,6.688,1.485,8.173,56,0.804,19.994,0.687,84,32.093,31.656,5.133
BC3,W,1,12,110.1,6.768,1.475,8.243,56,1.135,30.009,0.592,76.667,31.267,30.84,5.03
BC3,W,2,13,100.5,5.806,1.649,7.455,68,0.938,23.347,0.686,76.667,22.933,22.293,1.595
BC3,W,3,13,113.2,6.723,1.815,8.538,76,1.184,34.096,0.613,76.667,23.8,23.18,4.346
BC3,W,4,11,122.3,8.147,1.703,9.85,51,0.888,25.006,0.637,83.333,43.767,43.507,2.276
BC3,W,5,11,109.4,5.66,1.285,6.945,55,0.814,26.421,0.604,83.333,38.833,38.513,3.417
BC3,W,6,12,111.1,6.612,1.594,8.206,61,0.992,27.776,0.627,79.333,32.12,31.667,3.333
BC4,NW,1,9,83.4,3.112,0.56,3.672,37,0.444,6.695,0.668,84.667,27,26.405,3.397
BC4,NW,2,11,97.5,4.241,0.721,4.962,51,0.592,9.245,0.708,86.667,37.633,37.103,6.079
BC4,NW,3,9,78.5,3.151,0.643,3.794,29,0.617,5.398,0.78,86.667,24.367,23.93,1.781
BC4,NW,4,9,92.7,3.426,0.497,3.923,32,0.469,7.032,0.609,76.667,16.633,16.14,0.723
BC4,NW,5,9,85.8,3.631,0.606,4.237,38,0.641,8.028,0.669,90,31.067,30.867,5.063
BC4,NW,6,5,62.3,1.191,0.255,1.446,37,0.641,3.773,0.576,83.333,25.3,23.987,3.34
